Wavelength_nm,2026-08-02 · calibration,2026-08-02 · blank,2026-08-02 · 0.05,2026-08-02 · 0.2,2026-08-02 · 0.4,2026-08-02 · 4,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 1,2026-08-05 · 0.4 · rep 2,2026-08-05 · 4 · rep 1,2026-08-05 · 4 · rep 2
529,,0,94.54545454545455,204.54545454545453,5174.545454545455,64544.545454545456,1362.7272727272727,1159.090909090909,559.0909090909091,28728.18181818182,21165.454545454544
530,,0,99.0909090909091,217.27272727272728,4960.909090909091,61595.454545454544,1319.090909090909,1118.1818181818182,541.8181818181819,27678.18181818182,20354.545454545456
531,,0,105.45454545454545,231.8181818181818,4854.545454545455,59266.36363636364,1307.2727272727273,1089.090909090909,545.4545454545455,26599.090909090908,19610.909090909092
532,,0,115.45454545454545,237.27272727272728,4679.090909090909,57149.09090909091,1270,1060.909090909091,520,25650.909090909092,18865.454545454544
533,,0,120,226.36363636363637,4482.727272727273,55001.818181818184,1248.1818181818182,1043.6363636363637,511.8181818181818,24945.454545454544,18252.727272727272
534,,0,92.72727272727273,225.45454545454547,4299.090909090909,52863.63636363636,1202.7272727272727,996.3636363636364,474.54545454545456,24127.272727272728,17608.18181818182
535,,0,82.72727272727273,222.72727272727272,4146.363636363636,50975.454545454544,1189.090909090909,952.7272727272727,462.72727272727275,23423.636363636364,16927.272727272728
536,,0,81.81818181818181,219.0909090909091,4013.6363636363635,49376.36363636364,1175.4545454545455,906.3636363636364,460.90909090909093,22686.363636363636,16391.81818181818
537,,0,84.54545454545455,217.27272727272728,3894.5454545454545,47698.181818181816,1140.909090909091,869.0909090909091,434.54545454545456,21927.272727272728,15842.727272727272
538,,0,65.45454545454545,201.8181818181818,3760.909090909091,46222.72727272727,1100.909090909091,834.5454545454545,394.54545454545456,21155.454545454544,15317.272727272728
539,,0,60,204.54545454545453,3652.7272727272725,44909.09090909091,1083.6363636363637,816.3636363636364,378.1818181818182,20466.363636363636,14881.818181818182
540,,0,50,191.8181818181818,3541.818181818182,43569.09090909091,1072.7272727272727,773.6363636363636,340.90909090909093,19799.090909090908,14370.90909090909
541,,0,50,197.27272727272728,3426.3636363636365,42230.90909090909,1032.7272727272727,753.6363636363636,319.09090909090907,19160,13973.636363636364
542,,0,42.72727272727273,186.36363636363637,3310.909090909091,40944.545454545456,991.8181818181819,730.9090909090909,308.1818181818182,18545.454545454544,13520
543,,0,28.181818181818183,150.9090909090909,3178.181818181818,39555.454545454544,957.2727272727273,699.0909090909091,278.1818181818182,17960.909090909092,13068.181818181818
544,,0,7.2727272727272725,124.54545454545455,3081.818181818182,38298.181818181816,909.0909090909091,658.1818181818181,232.72727272727272,17255.454545454544,12560
545,,0,11.818181818181818,112.72727272727273,2985.4545454545455,37110.90909090909,897.2727272727273,647.2727272727273,219.0909090909091,16580.909090909092,12044.545454545454
546,,0,23.636363636363637,115.45454545454545,2879.090909090909,35764.545454545456,868.1818181818181,644.5454545454545,220.9090909090909,16010.90909090909,11692.727272727272
547,,0,35.45454545454545,114.54545454545455,2766.3636363636365,34478.181818181816,823.6363636363636,635.4545454545455,210,15360.90909090909,11225.454545454546
548,,0,24.545454545454547,107.27272727272727,2631.818181818182,33186.36363636364,791.8181818181819,601.8181818181819,208.1818181818182,14774.545454545454,10715.454545454546
549,,0,20,115.45454545454545,2498.181818181818,31783.636363636364,774.5454545454545,554.5454545454545,206.36363636363637,14180.90909090909,10263.636363636364
550,,0,12.727272727272727,78.18181818181819,2374.5454545454545,30426.363636363636,742.7272727272727,510,190.9090909090909,13574.545454545454,9792.727272727272
551,,0,21.818181818181817,89.0909090909091,2282.7272727272725,29032.727272727272,733.6363636363636,500,190,13034.545454545454,9299.09090909091
552,,0,30,76.36363636363636,2212.7272727272725,27715.454545454544,716.3636363636364,480,203.63636363636363,12420,8800
553,,0,39.09090909090909,69.0909090909091,2102.7272727272725,26279.090909090908,698.1818181818181,459.09090909090907,195.45454545454547,11829.09090909091,8370.90909090909
554,,0,47.27272727272727,82.72727272727273,1995.4545454545455,24990,699.0909090909091,433.6363636363636,203.63636363636363,11154.545454545454,7894.545454545455
555,,0,50,80.9090909090909,1903.6363636363637,23663.636363636364,699.0909090909091,405.45454545454544,210.9090909090909,10642.727272727272,7553.636363636364
556,,0,56.36363636363637,77.27272727272727,1818.1818181818182,22414.545454545456,663.6363636363636,376.3636363636364,195.45454545454547,10099.09090909091,7209.090909090909
557,,0,51.81818181818182,70,1722.7272727272727,21195.454545454544,635.4545454545455,352.72727272727275,174.54545454545453,9543.636363636364,6843.636363636364
558,,0,41.81818181818182,55.45454545454545,1612.7272727272727,20059.090909090908,613.6363636363636,326.3636363636364,151.8181818181818,9050.90909090909,6457.272727272727
559,,0,50,49.09090909090909,1547.2727272727273,18965.454545454544,609.0909090909091,316.3636363636364,137.27272727272728,8594.545454545454,6143.636363636364
